addr_key,member_count_active,member_count_all,latest_membership_year
1435 graveley st,0,1,
1435 haywood ave,0,1,
1435 summit dr,0,1,
1435 w 10th ave,0,3,
1436 graveley st,0,3,2023.0
1436 gravely st,0,1,2024.0
1437 10th ave e,0,1,
1437 e 10th,0,1,
1437 e 10th ave,0,1,2022.0
1438 richards st,0,1,2024.0
144 12th st w,0,1,
144 park kamloo,0,1,
144 saunders st,0,1,
144 w 10th ave,0,1,2024.0
1440 broadway e,0,1,
1440 broadway st e,0,1,
1440 creekside dr,0,1,
1440 e broadway,1,1,2025.0
1440 haro st,0,1,
1440 lanark? alley @ lanark & 37th),0,1,
1441 ford ave,0,1,
14410 chartwell dr,0,1,
14415 18 ave,0,1,
14415 18th,0,1,
1442 brooke st,0,1,
1442 inkar rd,0,1,
1444 w 71st ave,0,1,
1445 14th ave w,0,1,
1445 knox rd,0,1,
1445 w 10th ave,0,2,
1445 w 70th ave,0,1,
1446 w13 ave,0,1,
1447 barclay st,0,1,2018.0
1447 semlin dr,0,1,2024.0
1448 e 37th (upstairs rental,0,1,
1449 e 10th ave,0,1,
145 e15th ave,0,1,
145 george st,0,1,2018.0
145 keith rd w,0,1,
145 predovic mtwy,0,1,
1450 chestnut st,0,5,2024.0
1450 e 7th ave,0,1,2020.0
1450 jamaica rd,0,1,
1450 sperling ave,0,1,2018.0
1450 w georgia,0,1,
1450 w georgia st,0,3,2022.0
14505 29a ave,1,1,2025.0
1451 12th ave e,0,1,2018.0
1452 w 13th ave,0,1,
1453 kingsw,0,1,
1454 e 15th ave,0,1,2018.0
1454 pendrell st,0,2,2020.0
1455 w 8th ave,0,7,
14555 68 ave,0,1,
14555 68th ave,0,1,
1457 8th east ave,0,1,
1457 e 8 ave,0,1,
1457 e 8th ave,0,1,2022.0
14581 105a ave,0,1,
1460 73rd ave w,1,1,2025.0
1460 barclay,0,1,2023.0
1460 barclay st,0,2,2022.0
1461,0,1,2020.0
1461 harwood,0,1,2020.0
1461 harwood st,0,3,2024.0
1463 8th ave w,0,1,
1465 lameys ml,0,1,2020.0
1465 parkway blvd,0,1,
1465 w 12th ave,0,1,2021.0
1465 w 14th ave,1,2,2025.0
1465 w 15th,1,1,2025.0
14658 76 ave,0,1,
1467 nation cres,0,1,
1468 cranbrook pl,0,1,
1468 e 1st ave,0,1,
1468 e1st ave,0,1,
1468 east11th ave,0,1,2022.0
1468 w 53rd ave,0,1,
14687 81a ave,0,1,
14688 102a ave,0,1,
147 chemin denis,0,1,
1472 charles st,0,1,
1472 elinor cres,0,1,2020.0
1472 william st,0,1,
1473 lincoln dr,0,1,
1474 fort st,0,1,2018.0
1476 w 14th ave,0,1,2023.0
1477 w 15th ave,0,1,
1479 b ontario 17,0,1,
148 e 6th ave,0,1,2018.0
1480 boundary cres,0,1,
1480 e 37th,0,1,
1480 w 71st ave,0,1,
1483 e king edward ave,0,2,2018.0
1483 king edward vancouve,0,1,
1483 lamaey's mill rd,0,1,2018.0
1483 lamest mill rd,0,1,
1483 lamey's mills rd,0,1,2020.0
14831 101a ave,0,1,
14835 66a ave,0,1,
1484 e 22,0,1,
1484 e 22nd ave,0,1,
1484 minto cres,0,1,
14840 105 ave,0,1,
1485 w 13th ave,0,1,
14852 southmere ct,0,1,
14861 southmere ct,0,1,
1488 e 37th,0,1,
1488 e 54th ave,0,1,
14896 108ave surre,0,1,
14899 107 a ave,0,1,
148st surre,0,1,
149 milross ave,0,1,
14921 104th ave,0,1,
1494 kingsway,0,2,2022.0
14968 101a ave,0,1,2024.0
1497 martin st,0,1,
1498 harwood st,1,1,2025.0
1499 w pender,0,1,2023.0
149b surre,0,1,
149st surre,0,1,
15 princess st,0,1,2023.0
150 athletes way,0,1,
150 e 14th ave,0,4,2023.0
150 e 16th,0,1,2020.0
150 e 16th ave,0,1,2022.0
150 e cordova st,0,2,2018.0
150 e cordova vancouv,0,1,
150 w 10th ave,0,1,
1500 haro st,0,1,2018.0
1500 howe,0,1,
1500 pendrell st,0,1,
1501 5815 yew st,0,1,2018.0
1501 haro st,0,2,2024.0
1503 909 colborne st,0,1,
1503 e 3rd ave,0,1,2020.0
1505 union st,0,1,
1507 e 12th ave,0,1,2018.0
1509 maple st,0,1,
1510 e broadway,0,1,2022.0
1510 e pender st,0,1,2018.0
1510 salisbury dr,0,1,2018.0
1510 salsbury dr,0,1,2018.0
1510 sasbury dr,0,1,2018.0
1511 n grandview hwy,0,1,
15127 70a ave,0,1,
15128 victoria ave,0,1,
1513 ridgeway ave,0,1,
15137 33 ave,0,1,
1515 charles st,0,1,2022.0
1515 e 6th ave,0,1,2024.0
1515 e broadway,0,1,
1515 w hastings st,0,1,
15158 royal ave royal ave,0,1,2018.0
1516 davie st,0,2,2021.0
1516 nanaimo st,0,1,2021.0
15168 36th v3z 0z6,0,1,
1517 sixth ave,0,1,
1518 bluestone edge ln,0,1,
1518 e 33rd ave,0,1,
1518 e 37th ave,0,1,
1519 e 12th ave,0,2,2021.0
15196 beachview ave,0,1,
152 e 11th ave,0,2,
152 e 23rd ave,0,1,2024.0
1520 blackwood st,0,1,
1521 burnaby st,0,1,2021.0
1521 e 11th st,0,1,2020.0
1523 e pender st,0,1,
1523 salsbury dr,0,1,2024.0
15230 guildford dr,0,1,
1525 e 4th ave,0,1,2020.0
1525 grandview hwy,0,1,
15258 92a ave,0,1,
1525b denman st,0,1,
1526 pandora ave,0,1,
15267 95ave,0,1,
1528 comox st,0,1,2018.0
1528 e 35th ave,0,2,
1528 e 5th ave,0,1,2023.0
1528 venables st,0,1,
1529 e 18th ave v5n2h4 vancouv,0,1,
1529 e 3rd ave,2,4,2025.0
1529 grant st,0,2,2018.0
1529 w broadway,0,1,
1529 w pender,0,1,2018.0
1529 w pender st,0,1,2024.0
153 4th st e,1,1,2025.0
153 douglas st e,0,1,
153 e 8th ave,0,2,
153 powell at v,0,1,
153 powell st,0,3,2024.0
1530 w 13th,0,1,2023.0
15306 96 ave,0,1,
1531 barclay st,0,2,2020.0
1532 e 13th,0,1,
1532 e pender st,0,1,
15321 russell ave,0,1,
1533 e 8th ave,0,1,2024.0
1533 e ave,0,1,2018.0
1533 e broadway,0,3,2024.0
15333 sequoia dr,0,1,
1534 henshaw ln,0,1,
1535 13th ave,0,1,2020.0
1535 e 1st ave,1,3,2025.0
1535 nelson st,0,1,
1535 w 12th ave,0,1,2022.0
1535 w 14th ave,0,1,2023.0
1536 94th ave,0,1,
1536 e 3rd ave,0,2,2024.0
1536 w 12th,0,1,
1536 w 12th ave,0,2,
1536 w 14th ave,0,3,2023.0
1537 burnaby st,1,3,2025.0
1537 e 4th ave,0,1,
1538 e 13th ave,0,1,2021.0
1538 e pender st,0,1,
1538 lakewood dr,0,1,
1538 morgan st,0,1,
1539 e 14th ave,0,1,
1539 e 4th ave,0,1,2021.0
154 17th st e,0,1,
154 18th st e,0,1,
154 e 7th ave,0,3,
1540 davie st,0,1,2021.0
1540 haro st,0,1,2023.0
1540 haro vancouve,0,1,
1540 salsbury dr,0,1,
1540 tanglewood ln,1,1,2025.0
1540 yew st,0,2,
1541 grant st,0,1,2023.0
15422 92 ave,0,1,
15425 35a ave,0,1,2024.0
1543 victoria dr,0,2,2018.0
1545 e 2nd ave,0,2,2020.0
1545 e 4th,0,1,
1545 e 4th ave,0,1,2021.0
1545 e broadway,0,1,2020.0
1545 w 14th ave,0,1,
1546 w 14 ave,0,1,
1546 yew st,0,1,2020.0
1547 e 13th ave,0,1,2024.0
1548 e 18th ave,1,2,2025.0
1549 grant st,0,2,2018.0
1549 kitchener,0,1,
1549 kitchener st,0,2,2018.0
1550 w 10th ave,0,1,
1550 w 11th ave,0,1,2024.0
15505 hessel brks,0,1,
1551 bridgman ave,0,1,2020.0
1552 e 10th ave,0,1,
1552 e pender st,0,2,2018.0
1552 pender st e,0,1,2018.0
1553 henshaw ln,0,2,2020.0
15534 madrona dr,0,2,
15545 84 ave,0,1,
15545 84av surre,0,1,
1555 charles st,0,1,2018.0
1555 e 13th ave,0,1,2020.0
1555 e 16th ave,0,1,2020.0
1555 graveley st,0,4,2020.0
1555 graveley st vancouver,0,1,
1555 richmond ave,0,1,
1555 woodland,0,1,
1555 woodland ave,0,1,
1555 woodland dr,0,1,2018.0
1556 5th ave e,0,2,2018.0
1556 charles st,0,3,2018.0
1556 e 5th,0,1,2018.0
1559 n grandview hwy,0,1,
15596 semiahmoo ave,0,1,
156 e 18th ave,0,1,
156 e 8th ave,0,4,
156 w 12th ave,0,1,
1560 11 ave e,0,1,
1560 13th ave w,0,1,2018.0
1560 e 18th ave,0,1,2024.0
1560 e 31st ave,0,1,
1560 e 4th ave,0,1,2018.0
1560 gordon pl cowichan bay,0,1,
1561 24th st w,0,1,
1561 bridgman ave,0,1,
1562 graveley,0,1,
1565 harwood st,1,2,2025.0
1565 w 13th ave,0,1,
1567 commercial dr,0,1,
1567 grandview hwy n,0,1,
1567 lodgepole pl,0,1,
1568 e broadway,0,1,2020.0
1568 topaz ct,0,1,2020.0
1569 violet cres,0,1,
157 terrace hill pl,0,1,
15745 croydon dr,0,2,
1575 e 1st ave,1,3,2025.0
1575 kamloops st,0,1,
1575 w 13th ave,0,1,2023.0
1576 e 35th ave,0,2,
1580 albatross ave,0,1,
1580 e 3rd ave vanv5n 1g9,0,1,
1580 haro,0,1,
1580 haro st,0,1,
1581 windermere st,0,1,
1582 hunter st,0,1,
1584 66th ave,0,1,
1585 w 14th ave,0,1,
1586 william st,1,2,2025.0
1587 w 59th ave,0,1,2023.0
1588 e hastings st,0,1,
1589 w 12th ave,0,1,
159 2nd ave w,0,1,2020.0
1590 hunter st,0,1,
15908 98 ave,0,1,
1591 christmas ave,0,1,
1592 e 2nd ave,0,2,2020.0
1592 e broadway,0,1,
1594 mcnair dr n,0,1,
1595 e 6th,0,1,2020.0
1595 e 6th ave,0,1,2018.0
1596 w 10th ave,0,1,
1597 w 64 ave,0,1,2021.0
1598 william st,1,1,2025.0
16 333 vancouver ave,0,1,
16 533 woodland dr,0,1,2018.0
16 e hastings,0,1,2020.0
160 6th st e,0,1,
1600 beach ave,0,3,2020.0
1600 d beach ave,0,1,2020.0
1600m beach ave,0,1,2021.0
1601 barclay st,0,4,2022.0
1602 6th ave e,0,1,2018.0
1602 e 12th ave,0,1,2020.0
1602 e broadway,0,1,
1603 bathurst st,0,1,
1603 e broadway,0,1,
1604 969 richards st,0,1,
1604 hosanna way,0,1,
1605,0,1,2020.0
1605 e 11 ave,0,1,
1605 e 11th ave,0,1,2024.0
1608 camosun st,0,1,
1608 frances st,0,1,
1609 comox st,0,2,2020.0
1609 cypress st,0,1,
1609 harwood st,0,2,2018.0
160b archery cres,0,1,
161 e 1st,0,1,2021.0
161 w georgia st,0,1,
1610 franklin st,1,3,2025.0
16107 111a ave,0,1,
1613 e 12th ave,0,1,
1615 trafalgar st,0,2,2024.0
1615 vine st,0,1,
1616 agnew ave,0,1,
1616 grant,0,1,2020.0
1616 pendrell st,0,7,2024.0
1616 w 10 ave 3,0,1,2023.0
1617 e 36th ave,0,1,
1617 e 5th ave,0,1,2020.0
1617 w 4th ave,0,1,2018.0
1618 w 6th ave,0,1,
162 mcpherson cres,0,1,
1620 barclay st,0,1,2018.0
1620 burnaby st,0,1,2020.0
1620 burtch rd,0,1,
1620 christmas ave,0,1,
1620 commercial,0,1,2018.0
1620 e 6th ave,0,1,2021.0
1620 e pender st,0,1,2024.0
1620 haro st,0,2,2020.0
1620 semlin dr,0,1,2020.0
1620 townsite rd,0,2,
1621 adanac,0,1,2018.0
1621 adanac st,0,1,2020.0
1622 e 11th ave,0,1,2024.0
1622 frances st,0,1,
1624 e broadway apt 204 vancouv,0,1,
1624 salsbury dr,0,1,2021.0
1625 mcphee ave,0,1,
1626 w 11th ave,0,1,2023.0
1626 w 12 ave,0,1,2022.0
1626 w 12th ave,0,1,2023.0
16260 23a ave,0,1,
1627 e 14th ave,0,2,
1627 e 4th ave,0,1,
1628 graveley st,0,1,2020.0
1629 haro,0,1,
1629 haro st,0,6,2022.0
1629 w 63 ave,0,2,2024.0
163 e cordova st,0,1,
163 powell st,0,1,
1630 burnaby st,0,2,2021.0
1630 chesterfield ave,0,2,
1630 evelyn st,0,1,
1630 hollywood crk,0,1,2023.0
1631 comox st,0,2,2020.0
1632 e 8th ave,0,1,2021.0
1633 victoria dr,0,1,2018.0
1633 w 8th ave,0,1,2020.0
1633 w 8th vancouv,0,1,
1634 e 6th ave,0,2,2020.0
1635 e 4th ave,2,6,2025.0
1635 e 6th,0,1,
1635 e 6th ave,0,2,2020.0
1635 w 12th ave,0,2,2023.0
1636 haro st,0,3,
1636 w 10th ave,0,3,2024.0
1638 e 3rd ave,0,2,2021.0
1639 e georgia st,0,1,
164 18th st e,0,1,
1640 alberni st,0,1,2018.0
1640 graveley st,0,1,
1641 mahon ave -1,0,1,2020.0
1641 woodland dr,0,1,2023.0
1643 e 3rd ave,1,1,2025.0
1644 nelson st,0,4,2022.0
1645 e 5th vancouve,0,1,
1645 w 11th ave,1,1,2025.0
1645 w 12th ave,1,1,2025.0
1646 cedar ave,0,1,
1646 e georgia st,0,1,
1646 w 12th ave,0,1,2023.0
16469 62a ave,0,1,
16469 64 ave,0,1,
16477 108 ave,0,1,
1648 venables st,0,1,
1650 4th ave e,0,1,
1650 e 4 ave,0,1,
1650 e 5th,0,1,2018.0
1650 e 5th ave,0,3,2018.0
1650 haro st,0,2,2021.0
1651 e georgia st,0,1,2020.0
1651 harwood st,0,2,2018.0
1651 parkway blvd,0,1,
1653 lambert ave,0,1,
1655 barclay,0,1,2021.0
1655 barclay st,1,8,2025.0
1655 begbie st,0,1,
1655 chambers st,0,1,
1655 haro st,1,3,2025.0
1655 w 11th ave,0,1,
1656 adanac,0,1,2020.0
1656 adanac st,0,3,2021.0
1656 adanac st 33,0,1,2022.0
1656 e 4th ave,0,2,2024.0
1659 lincoln ave,0,1,
1660 barclay st,0,1,
1660 e 5th ave,0,1,2020.0
1660 e georgia,0,1,
1660 e georgia st,0,1,
1660 fort st,0,1,
1661 burnaby st,0,1,2020.0
1661 davie st,0,1,
16618 60 ave,0,1,2024.0
1663 w 12th ave,1,2,2025.0
1664 e 11 ave,0,1,
1664 e 11th ave,0,2,
1664 kingsway,0,1,
1665 cotton dr,0,2,2020.0
1665 w 11th ave,0,1,2023.0
1666 pendrell st,0,1,
1666 w 12th ave,0,1,
1668 davie st,0,2,
166a st,0,1,
1670 e 10th ave,0,2,2018.0
1671 haro st,0,3,2020.0
1673 ascot ave,0,1,
1675 comox st,0,1,
1675 crescent view dr,0,1,
1675 e 14th ave,0,1,2023.0
1675 harwood,1,1,2025.0
1675 n los robles ave,0,1,
1675 w 11th ave,0,1,2023.0
1675 w 12th ave,0,1,2024.0
1676 e 36th ave,0,1,
1676 w 10th ave,0,1,
1676 w 11th ave,0,2,2023.0
1677 stanhope pl,0,1,
1678 w 7th ave,0,1,
168 esplanade e,0,1,2020.0
168 esplanade east,0,1,
168 powell st,0,2,2024.0
168 w 62nd ave,0,1,
1680 balsam st,0,1,2024.0
1680 dufferin cres,0,1,
1680 e 6th ave,0,1,
1680 poplar ave,0,1,
1685 w 13th ave,0,1,2021.0
1686 dempsey rd,0,1,
1686 w 12th ave,0,1,2024.0
1686 w 13th ave,0,1,2023.0
1688 e 4th ave,0,2,
1688 e 8th ave,1,1,2025.0
1688 robson st,0,1,
1689 306graveley st,0,1,2018.0
1689 graveley st,0,1,2021.0
1690 nelson st,0,2,
1690 nelson st buzzer 2041,0,1,2023.0
1696 frances st,0,1,2020.0
1696 pine st,0,1,
1696 w 11th vancouve,0,1,
17 3080 heather st,0,2,2018.0
17 e 27th ave,0,1,
170 5th st e,0,1,2021.0
1700 woodland dr,1,1,2025.0
1701 powell st,0,2,2020.0
1702 1160 haro st,0,1,2023.0
1703 1005 jervis st 1703 1005,0,1,2018.0
1703 cotton dr,0,1,
1704 alameda dr,0,1,
1704 cotton dr,0,1,
1704 victoria dr,0,2,2022.0
1705 william st,0,1,2018.0
1706 victoria dr,0,1,2018.0
1707 e 4th ave,0,1,
1707 e 4th vancouve,0,1,
1708 938 st,0,1,
1708 charles st,0,1,2018.0
1708 columbia st,0,1,2021.0
171 victoria st,0,1,
1710 barclay st,0,1,2018.0
1710 pearl st,0,1,
1711 semlin dr,0,1,
1712 capilano ave,0,1,
1714 alberni hwy,0,1,
1715 cook st,0,2,2023.0
1715 w 11th ave,0,2,2018.0
1715 w11th ave,0,1,2018.0
1720 balsam st,0,1,2020.0
1720 barcla st,0,1,2018.0
1720 kingsway,0,2,
1721 comox st,0,1,2018.0
1721 creek st,0,1,
1721 w canal st,0,1,
1723 victoria dr,0,1,2018.0
1724 creek st,0,1,
1726 e 6th ave,0,1,2023.0
1727 comox st,0,1,
1727 parker st,0,1,2024.0
1727 william st,0,2,2021.0
1728 2nd ave e,0,1,
1728 e 2nd,0,1,
1728 e 2nd ave,0,1,2020.0
1728 yew st,0,1,
1729 trafalgar,0,1,2020.0
173 w 18th ave,1,1,2025.0
173 w 19th ave,0,1,
1730 e pender st,0,1,2018.0
1730 pendrell st,1,1,2025.0
1732 e 18 ave,0,1,2018.0
1732 mcspadden ave,0,1,
1732 napier st,0,1,2018.0
1733 e 1st ave,1,1,2025.0
1733 e 33rd,0,1,2020.0
1734 cardinal cres,0,1,
1735 kensington ave,0,1,
1735 nelson,0,1,
1735 nelson st,0,3,2020.0
1736 e 5th ave,0,1,2023.0
1738 alberni st,0,1,
1740 comox st,0,1,
1741 w 10th ave,0,2,2023.0
1741 william st,0,1,2018.0
1742 e 3rd ave,0,1,
1742 pendrell st,0,1,2022.0
1743 bayswater st,0,2,
1743 pendrell,0,1,
1744 barclay,0,1,2020.0
1744 barclay st,0,6,2021.0
1744 e 56th ave,0,1,
1744b amphion st,0,1,2021.0
1745 w 12th ave,0,3,2018.0
1748 e pender st,1,4,2025.0
1748 napier st,1,1,2025.0
1749 charles st,0,1,
1749 e 14th ave,0,2,2020.0
1749 w3rd ave,0,1,2018.0
175 2nd st w,0,1,
175 e broadway,0,11,2018.0
175 princess st,0,1,
175 templeton dr,0,1,2021.0
175 w 10 ave,0,1,
175 w 10th ave,0,2,2020.0
1750 e 2nd ave,0,1,2022.0
1751 e 43rd ave,0,1,2020.0
17529 hyman path,0,1,
1755 e 2nd ave,0,1,2018.0
1755 e broadway vancouve,0,1,
1755 e13th ave,0,1,
1755 haro st,1,4,2025.0
1755 lions gate ln,0,1,
1755 w 14th ave,0,1,2024.0
1761 charles st,0,1,2018.0
1761 e 3rd ave,0,2,2018.0
1761 e 5th ave,0,1,2020.0
1761 william st,0,1,
1762 shannon ct,0,1,
1763 comox st,0,1,
1763 e pender st,0,1,2021.0
1763 nelson st,0,3,2021.0
1764 water st,0,1,
1765 kitchener st,0,1,
1766 gravely st,0,1,2020.0
1766 w 11th ave,0,1,
1768 cook st,0,1,2023.0
1768 e 13th ave,0,1,
1768 e 35th ave,0,1,
1768 w 8th ave,0,2,2024.0
1768 william st,0,1,2018.0
1770 barclay st,0,1,2018.0
1770 davie,0,10,2018.0
1770 davie st,0,8,2020.0
1770 pendrell st,1,1,2025.0
1771 e 18th ave,0,1,2022.0
1771 e georgia st,0,1,2024.0
17719 58a ave,0,32,2021.0
1772 comox st,0,1,
17731 westminster hwy,0,1,
1774 grant st,0,1,
1774 mcspadden ave,0,2,2022.0
1775 adanac st,0,2,
1775 cameron crescent qualicum bch,0,1,
1775 e 18th ave,0,1,2018.0
1775 e 29th ave,0,1,
1775 e 36th ave,0,1,
1775 quebec st,0,1,
1775 venables st,0,1,2018.0
1777 e 2nd ave,0,1,2021.0
1777 frances st,0,4,2024.0
1777 w 7th ave,0,2,2018.0
17779 100 ave,0,1,2024.0
17789 70 ave,0,1,2020.0
178 w 11th ave,0,1,
1783 manchester ct,0,1,
1784 w 14th ave,1,2,2025.0
1785 2nd ave e,0,1,2024.0
1785 e 2nd ave,1,1,2025.0
1785 rockland ave,0,1,
1788 w georgia st,0,1,2020.0
1788 william st,0,1,2021.0
179 e 26th ave,0,1,2020.0
179 w 17th ave,0,1,
1790 148 st,0,1,
1790 w 10th ave,0,1,
17934 58 ave,0,1,
1794 frances st,1,1,2025.0
1795 6th st e,0,1,
18 68 ave,0,1,
180 switchman,0,1,2018.0
180 switchmen st,0,2,2024.0
1800 rufus dr,0,2,
1801 panorama dr,0,1,
1804 grant st,0,2,
1805 e 11th ave,0,1,2022.0
1805 e 6th ave,0,1,
1805 n ave 51,0,1,2023.0
1805 napier st,0,1,2018.0
1805 w 13th ave,0,1,
1806 e 11th ave,0,1,2020.0
18077 67b ave,1,1,2025.0
1808 1111 alberni st,0,1,
1808 1st ave e,0,1,
1809 frances st,0,2,2021.0
181 e 32nd ave,1,1,2025.0
1810 e georgia st,0,1,
1810 pine st,0,1,
1811 adanac st,1,5,2025.0
1814 fairford dr,0,1,
1815 lennard dr,0,1,
1816 e 37th ave,0,1,
1816 parker st,0,1,2023.0
1817 falls st,0,1,
1820 e pender st,1,1,2025.0
1820 summerhill pl,0,1,
1820 woodland dr,0,1,
1822 e pender st,0,1,2018.0
1824 dunbar st,0,1,
1825 haro st,0,1,2020.0
1825 w 4th ave,1,1,2025.0
1826 adanac st,0,4,2018.0
183 e georgia st,0,2,
183 georgia st,0,2,
1830 alberni st,0,1,2020.0
1830 dublin st,0,1,
1830 e 1st ave,0,1,2020.0
1830 hillview dr,0,1,
1831 e georgia,0,1,
1831 e georgia st,0,1,2020.0
1831 robson,0,1,2020.0
1831 robson st,0,2,2018.0
1831 trafalgar st,0,1,2021.0
1834 charles st,0,1,2018.0
1834 e pender st,0,2,2020.0
1836 parker st,1,1,2025.0
18360 river rd,0,1,
1837 11th ave e,0,1,2021.0
1837 adanac st,0,1,2018.0
1838 e 1st ave,0,1,
1838 lemax ave,0,1,2020.0
18394 fraser hwy,0,2,
184 w 12th ave,1,1,2025.0
1840 160th st,0,1,
1840 e 1st ave,0,1,2018.0
1840b vine st,0,1,
1841 nootka st,0,1,2018.0
1841 oak bay ave,0,1,
1841 parker st,0,1,
1842 collingwood st,0,1,
1842 e georgia vancouv,0,1,
1842 e pender st,0,1,
1843 william st,0,1,
1844 barclay st,0,3,2020.0
1844 e georgia,0,1,2018.0
1844 georgia st e,0,1,2023.0
1845 comox st,0,4,2020.0
1845 w 13th ave,2,2,2025.0
1847 graveley st,0,1,
1847 pendrell st,0,4,2024.0
1848 w 3rd ave,0,1,
185 e 21st ave,0,1,2021.0
1850 adanac,1,1,2025.0
1850 adanac st,0,5,2021.0
1850 comox st,0,3,2020.0
1850 e 18th ave,0,1,2018.0
1850 w 8th ave,0,1,2024.0
1851 haro st,0,2,2020.0
18537 74 ave,0,1,
1855 e georgia st,0,4,2020.0
1856 frances st,0,4,2018.0
1856 nelson st,0,1,
1858 e 15th ave,1,1,2025.0
1858 e 16th ave,0,1,
1859 woodway pl,0,1,
186 greenwood ct,0,1,
1860 adanac st,0,1,
1860 e 14th ave,0,1,
1860 ethel st,0,1,
1860 haro st,0,1,
1860 nelson st,0,1,2024.0
1860 w2nd ave,0,1,
1862 parker st,1,2,2025.0
1866 w 13 ave,0,1,2024.0
1867 napier st,0,1,2020.0
1868 acadia rd,0,1,2024.0
1868 franklin st,0,1,
1869 comox st,0,3,2021.0
1869 frances st,1,2,2025.0
1869 parker st,0,1,2018.0
187 3rd ave e,0,1,
187 e 3rd ave,0,2,2023.0
187 turcotte curv,0,1,
1870 charles st,0,2,2021.0
1872 nelson st,0,2,2020.0
1872 w 10th ave,0,1,2018.0
1873 adanac st,0,3,2023.0
1873 nelson st,0,2,2020.0
1873 spyglass pl,0,1,2018.0
1875 7th ave w,0,1,2024.0
1875 robson st,0,3,2018.0
1875 yew,0,1,2018.0
1875 yew st,0,3,2018.0
1876 w broadway,0,1,2018.0
1877 haro st,0,1,
1877 w 5th ave,0,1,
188 e 26th ave,0,1,2021.0
188 keefer pl,0,2,
188 keefer st,0,3,2022.0
188 milross ave,0,5,2018.0
188 w 10th ave,0,1,
1880 e pender st,0,5,2020.0
1881 southmere cres e,0,1,2018.0
1883 stainsbury ave,0,1,2023.0
1885 barclay st,0,1,2020.0
1885 w 2nd,0,1,
1886 w 15th ave,0,1,2024.0
18875 69 ave,0,1,2018.0
1888 victoria diversion,0,2,2024.0
189 keefer st,0,2,
1890 comox ave,0,1,
1895 34th ave e,0,1,2018.0
1895 foul bay rd,0,1,
1895 powell st,0,1,
1896 comox st,0,1,
18a man king building,0,1,
1900 bowen rd,0,1,
1901 barclay st,0,2,2020.0
1902 charles st,0,1,2024.0
1905 robson st,0,1,
1906 3970 carrigan ct,0,1,
1906 barclay st,0,3,2024.0
1906 nelson,0,6,2021.0
1906 nelson st,0,10,2021.0
1906 tenth ave,0,1,
1907 grant st,0,2,2018.0
1908 e 5th ave,0,1,
1909 salton rd,0,1,
19091 advent rd,0,1,
191 57 ave e,0,1,
191 e 57th ave,0,1,
1910 6th ave w,0,1,2023.0
1910 ferndale st,0,1,2024.0
1910 vine st,1,1,2025.0
19109 69a ave,0,1,
1912 7th ave,0,1,2021.0
1914 robson st,0,2,
1915 haro,0,5,2022.0
1915 haro st,0,3,2021.0
1915 w broadway,0,2,2023.0
1916 e 35th ave,0,2,
1916 e 5th ave,0,1,
1918 haro st,0,1,
1918 waterloo st,0,2,2018.0
1919 bellevue ave,0,2,2018.0
1919 ferndale,0,1,2018.0
192 e17 ave,0,1,
1922 stephens st,0,1,
1923 parker st,0,2,2018.0
1924 barclay st,0,1,
1924 e 7th ave,0,1,2024.0
1924 kitchener st,0,1,2018.0
1924 william st,0,1,2022.0
1925 nelson st,2,6,2025.0
19250 119 ave,0,1,
1926 ferndale st,0,1,
1929 e 8th ave,0,1,2020.0
1929 grant st,0,1,
1929 w 3rd ave,0,1,
1930 e 3rd ave,0,1,2018.0
1931 william st,0,1,
1932 6th ave w,0,1,2018.0
1932 alberni st,0,2,2020.0
1932 robson st,0,1,2024.0
1932 w 1st ave,1,1,2025.0
1933 charles st,0,1,2021.0
1933 e 42 ave,0,1,
1933 relda ct,0,1,
1933 robson,0,1,2017.0
1933 robson st,0,3,2020.0
1934 william st,0,2,2024.0
1936 grant st,0,1,
1936 w 14th ave,0,2,2018.0
1937 3 second ave,0,1,
1937 e 8th ave,0,1,2018.0
1938 charles st,0,1,2018.0
1939 garden dr,0,1,2024.0
1940 barclay,0,1,2020.0
1940 lakewood dr,1,2,2025.0
1941 graveley st,0,2,2022.0
1942 charles st,0,1,
19431 nader mt,0,1,
1945 barclay st,0,2,2018.0
19451 sutton ave,0,1,
1947 w 7th ave,0,1,2018.0
1949 barclay st,0,1,
1949 beach ave,0,1,
1949 comox,0,1,2018.0
195 e22nd ave,0,1,2018.0
1950 adanac st,1,1,2025.0
19506 3a ave,0,1,2018.0
1952 comon st,0,1,2020.0
1952 comox st,0,5,2018.0
1952 valens st,0,1,
1954 charles st,0,2,2022.0
1955 haro st,0,3,2018.0
1956 haro st,0,2,
1956 kitchener st,0,1,2018.0
1956 w12th ave,0,1,
1957 guthrie rd,0,1,
1958 barclay,0,1,2018.0
1958 barclay st,0,2,
1958 barclay t,0,1,
1959 marine dr n,0,1,
196 stanton st,0,1,
196 w 45,0,1,
1960 alberni st,0,1,2018.0
1960 lee ave,0,1,
1966 w 15th,0,1,2018.0
1967 barclay st,0,1,
1969 renfrew st,0,4,
1970 41st ave w,0,1,2024.0
1970 fitzgerald ave,0,1,
19720 56 ave,0,1,
1974 e 38th ave,0,1,2018.0
1974 e pender st,0,1,
1974 turner st,0,1,2024.0
1975 balsam st,0,1,
1975 e 12th,0,1,2020.0
1975 w 10th ave,0,1,
1976 stephens st,0,1,2018.0
1978 charles st,0,1,2022.0
